address,cover_alt,cover_src,description,latitude,link,longitude,price,price_currency,price_for,price_specification,recommended_unit,recommended_bed,score,score_aggregate,score_reviews,suburb,title
"630 Little Collins Street, 3000 Melbourne, Australia",The Savoy Hotel on Little Collins Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/404852187.webp?k=6257d7ad3657a64e488150058c2bbac6520a1330ac856c35f7bac8157cbfd449&o=,"Conveniently located in Melbourne CBD, The Savoy Hotel is located within 5 minutes' walk of Collins Street and the Southern Cross Railway Station, which offers shops, cafes and restaurants. It features a fitness centre and a restaurant. Free WiFi is provided at the hotel.

Daily breakfast is served in the Curve Restaurant. Guests of the Savoy can also enjoy a drink at Alexander Bar and choose from an extensive wine list, where dinner is also served.

The Savoy Hotel Melbourne is situated 300 metres from the bank of the Yarra River. Tram connection is around the corner from the hotel and Marvel Stadium, Melbourne Aquarium and Melbourne Convention Centre are all within 1 km. Tullamarine Airport is less than 25 km away.

The newly refurbished spacious guest rooms feature stylish furnishings and include a work desk, a minibar, cable TV and in-house movies. Each air-conditioned room features a private bathroom with hairdryer.",-37.81774544,https://www.booking.com/hotel/au/vibe-savoy-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=3798422_244624358_1_41_0&highlighted_blocks=3798422_244624358_1_41_0&matching_block_id=3798422_244624358_1_41_0&sr_pri_blocks=3798422_244624358_1_41_0__31900&from_sustainable_property_sr=1&from=searchresults,144.95366558,319,AUD,"1 night, 1 adult",Includes taxes and charges,Savoy King Room,1 extra-large double bed,8.8,Fabulous,4830,"Melbourne CBD, Melbourne",The Savoy Hotel on Little Collins Melbourne
"8 Whiteman Street, Southbank, 3006 Melbourne, Australia",Crown Promenade Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/603945265.webp?k=6e673229c2a624a40ed38458ea21489aee99f48ceab7e1aa8edb6b32f0c11872&o=,"Located in the centre of Melbourne, Crown Promenade Melbourne offers an infinity pool, an outdoor terrace and a fully equipped fitness center. WiFi is available.

All rooms features city, bay or river views, an en-suite bathroom, a minibar and a flat screen TV with cable channels.

The property has a restaurant and a bar. The property also offers steam rooms, a heated spa and a masseuse.

Crown Promenade Melbourne is directly linked to the Crown Casino and Entertainment Complex.",-37.82375585,https://www.booking.com/hotel/au/crown-promenade.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=3786101_131970484_0_2_0&highlighted_blocks=3786101_131970484_0_2_0&matching_block_id=3786101_131970484_0_2_0&sr_pri_blocks=3786101_131970484_0_2_0__37900&from_sustainable_property_sr=1&from=searchresults,144.95986283,379,AUD,"1 night, 1 adult",Includes taxes and charges,Standard King Room,1 extra-large double bed,8.5,Very,9441,"Southbank, Melbourne",Crown Promenade Melbourne
"443 Docklands Drive , Docklands, 3008 Melbourne, Australia",Vibe Hotel Melbourne Docklands,https://cf.bstatic.com/xdata/images/hotel/square600/583717840.webp?k=be7d59181e140ccf916154b82400fda3b1d30bbadf2d503c30abb85feefefcb9&o=,"Offering an outdoor pool, Vibe Melbourne Docklands is located in the heart of the popular Docklands area with countless restaurants and shops nearby. It is just 1 km from the Marvel Stadium and 2 km from Melbourne Convention and Exhibition Centre. Free Wi-Fi is offered.

All 273 guestrooms and studios at Vibe Melbourne Docklands boast city and water views, and a 42 inch flat-screen TV. Some rooms feature a bath.

The all-day dining restaurant at the property offers guests a healthy breakfast, tasty snacks and an a la carte dinner menu. Leisure facilities include a hot tub, steam room and an outdoor heated pool.

As a state-of-the-art conference hotel in Melbourne, a range of meeting rooms are available for guests events, for up to 200 people. All the meeting rooms offer free Wi-Fi and flexible set-ups.

Melbourne Airport is a 30-minute drive from Vibe Melbourne Docklands.",-37.81544600,https://www.booking.com/hotel/au/vibe-melbourne-docklands.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=216276118_391312052_2_2_0&highlighted_blocks=216276118_391312052_2_2_0&matching_block_id=216276118_391312052_2_2_0&sr_pri_blocks=216276118_391312052_2_2_0__23120&from_sustainable_property_sr=1&from=searchresults,144.93820900,231,AUD,"1 night, 1 adult",Includes taxes and charges,Guest Room King,Multiple bed types,8.5,Very,3507,"Docklands, Melbourne",Vibe Hotel Melbourne Docklands
"50 Batman Street, West Melbourne, 3003 Melbourne, Australia",Courtyard by Marriott Melbourne Flagstaff Gardens,https://cf.bstatic.com/xdata/images/hotel/square600/437374224.webp?k=a9e36c656303ab723277d161188bc0c0b85b4ed8661c9a25cb01b2d578dcb8aa&o=,"Situated conveniently in the centre of Melbourne, Courtyard by Marriott Melbourne Flagstaff Gardens offers air-conditioned rooms, a fitness centre, free WiFi and a terrace. The property is close to several well-known attractions, 1.6 km from Melbourne City Conference Centre, 1.7 km from State Library of Victoria and 1.9 km from Block Arcade Melbourne. Guests can enjoy Australian and international dishes at the restaurant or have a cocktail at the bar.

The units at the hotel come with a seating area, a flat-screen TV and a safety deposit box. Featuring a private bathroom with a shower and free toiletries, certain units at Courtyard by Marriott Melbourne Flagstaff Gardens also have a city view. At the accommodation all rooms are equipped with bed linen and towels.

Guests at Courtyard by Marriott Melbourne Flagstaff Gardens can enjoy a buffet breakfast.

Staff at the hotel are available to provide information at the 24-hour front desk.

Popular points of interest near Courtyard by Marriott Melbourne Flagstaff Gardens include Southern Cross Station, Marvel Stadium and Crown Casino Melbourne. Essendon Fields Airport is 10 km away.",-37.81040898,https://www.booking.com/hotel/au/courtyard-by-marriott-melbourne-flagstaff-gardens.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=800641805_341270408_0_2_0&highlighted_blocks=800641805_341270408_0_2_0&matching_block_id=800641805_341270408_0_2_0&sr_pri_blocks=800641805_341270408_0_2_0__28900&from_sustainable_property_sr=1&from=searchresults,144.95126050,289,AUD,"1 night, 1 adult",Includes taxes and charges,Deluxe King Room,1 extra-large double bed,8.9,Fabulous,855,"West Melbourne, Melbourne",Courtyard by Marriott Melbourne Flagstaff Gardens
"80 Waterfront Way, Docklands, 3008 Melbourne, Australia",Nesuto Docklands,https://cf.bstatic.com/xdata/images/hotel/square600/449510432.webp?k=2b7eb1083c389348664de19475fd066fac41e599d92d86b4f117773d8452c4ac&o=,"Set in Melbourne, 1.1 km from Marvel Stadium, Nesuto Docklands offers accommodation with a fitness centre and private parking. With free WiFi, this 4-star hotel offers a 24-hour front desk and a concierge service. The property is 1.5 km from the city centre and 2.2 km from Southern Cross Station.

The hotel will provide guests with air-conditioned rooms offering a desk, a kettle, a fridge, a dishwasher, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Nesuto Docklands the rooms are equipped with bed linen and towels.

Crown Casino Melbourne is 2.8 km from the accommodation, while Melbourne City Conference Centre is 3 km from the property. Essendon Fields Airport is 11 km away.",-37.812326,https://www.booking.com/hotel/au/nesuto-docklands.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=919086201_386816042_2_0_0&highlighted_blocks=919086201_386816042_2_0_0&matching_block_id=919086201_386816042_2_0_0&sr_pri_blocks=919086201_386816042_2_0_0__21000&from_sustainable_property_sr=1&from=searchresults,144.939066,210,AUD,"1 night, 1 adult",Includes taxes and charges,Premium Apartment,Entire apartment•1 bedroom•1 bathroom•1 kitchen•38m²,8.8,Fabulous,2945,"Docklands, Melbourne",Nesuto Docklands
"509 Flinders Lane, 3000 Melbourne, Australia",Quincy Hotel Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/404852091.webp?k=39db3f0beb3efd0a86c55b480acbe0dc504bddc6b30a00d3ef9f97e686148616&o=,"Featuring a fitness centre, a restaurant as well as a bar, Quincy Hotel Melbourne is located in the centre of Melbourne, 800 metres from Southern Cross Station. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The hotel provides an indoor pool and a concierge service.

The hotel will provide guests with air-conditioned rooms offering a wardrobe, a coffee machine, a fridge, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Quincy Hotel Melbourne features certain rooms with city views, and rooms come with a kettle. At the accommodation each room has bed linen and towels.

Guests at Quincy Hotel Melbourne can enjoy an à la carte breakfast.

The hotel offers a sun terrace.

Popular points of interest near Quincy Hotel Melbourne include Crown Casino Melbourne, Block Arcade Melbourne and Marvel Stadium. Essendon Fields Airport is 11 km away.",-37.819353,https://www.booking.com/hotel/au/quincy-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=653327002_377363405_0_42_0&highlighted_blocks=653327002_377363405_0_42_0&matching_block_id=653327002_377363405_0_42_0&sr_pri_blocks=653327002_377363405_0_42_0__30515&from_sustainable_property_sr=1&from=searchresults,144.957241,305,AUD,"1 night, 1 adult",Includes taxes and charges,Quincy Queen or Twin Room,Beds: 1 double or 2 singles,8.7,Fabulous,6466,"Melbourne CBD, Melbourne",Quincy Hotel Melbourne
"31 City Road, Southbank, Southbank, 3006 Melbourne, Australia",Mantra Southbank,https://cf.bstatic.com/xdata/images/hotel/square600/248400689.webp?k=642d2ed72031c5167e4509e8128b152addad5f7adcd46a92447497e755d81f4d&o=,"Melbourne accommodation in the heart of the vibrant arts and entertainment direct? We’ve got you sorted at Mantra Southbank Melbourne. Just moments away from all the exciting action of South Bank, you’re a short walk from Crown Casino, the Melbourne Convention and Exhibition Centre and the Victoria Arts Centre. When you’ve hit the town and are looking for comfortable sleep, choose from a selection of apartments all offering plush bedding and equipped with quality furnishings. Onsite, jump into our heated indoor pool and spa on level 18, or head into the gym on the same floor to get the blood pumping. When hunger strikes, Mezzi Bar & Restaurant – located in the lobby – is waiting to serve you up a fresh buffet breakfast, or a refreshing night cap in the evening. Stay your way at Mantra Southbank Melbourne.",-37.82159370,https://www.booking.com/hotel/au/mantra-southbank.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=17997512_295342759_2_2_0&highlighted_blocks=17997512_295342759_2_2_0&matching_block_id=17997512_295342759_2_2_0&sr_pri_blocks=17997512_295342759_2_2_0__27900&from_sustainable_property_sr=1&from=searchresults,144.96677756,279,AUD,"1 night, 1 adult",Includes taxes and charges,One-Bedroom Apartment,Entire apartment•1 bedroom•1 bathroom•1 kitchen•38m²,8.0,Very,1952,"Southbank, Melbourne",Mantra Southbank
"7 Convention Centre Place, 3006 Melbourne, Australia",Novotel Melbourne South Wharf,https://cf.bstatic.com/xdata/images/hotel/square600/525306082.webp?k=a7fd5334ab8e070ae0fc9a45656cf1eb792d0388177e5afe85f8a8a1ffbcef7e&o=,"Located in the historic South Wharf Promenade in Melbourne, the four star Novotel Melbourne South Wharf was built in 2017. The hotel is complemented with direct access to the Melbourne Convention & Exhibition Centre, the Southern Hemisphere’s largest meeting space.  Guests can enjoy the on-site fitness centre, restaurant and bar.

In contrast to the historical maritime docks and cargo sheds, is the contemporary architecture of Melbourne’s newest buildings and attractions. Housed in the neighbouring historic wharfs and cargo sheds are a variety of bars, dining and shopping. The iconic 1885 three mastered tall ship and The Polly Woodside are nearby. A 17-minute walk from the hotel is Etihad Stadium, playing host to International sporting and entertainment events.

Featuring 26 levels with 347 accommodation rooms and suites, guests can choose from a range of inspired accommodation rooms and suites, boasting floor to ceiling windows with views across the City skyline or towards Port Philip Bay. All rooms and suites feature modern and thoughtfully designed bathrooms with walk in showers and LED back lit mirrors.

Melbourne’s bar, dining and café culture is well represented in the Balcony bar and restaurant. With commanding South Wharf views across the golden exterior facade. The Balcony Bar and Restaurant is open for breakfast, lunch, dinner or anything in-between. The Balcony Bar and Restaurant service philosophy is to provide the best of Victoria’s farm fresh produce with emphasis on sharing plates and platters. As the sun sets across South Wharf, the Balcony Bar serves up local craft beers, ciders and guests choose from an extensive wine list, hand selected from Victoria’s wine regions.

A stroll across the Seafarers Bridge will connect you to the heart of the City, Southern Cross Station, New Quay and Docklands. The South Melbourne Market is a 10-minute drive away, where you find a culinary journey of cosmopolitan dining and farm fresh produce. SEALIFE Melbourne Aquarium is just 1.3 km from the property, while Royal Botanic Gardens is 2.6 km away. The nearest airport is Melbourne Airport, 25 km from Novotel Melbourne South Wharf.",-37.82536500,https://www.booking.com/hotel/au/novotel-melbourne-south-wharf.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=271226601_106254093_2_2_0&highlighted_blocks=271226601_106254093_2_2_0&matching_block_id=271226601_106254093_2_2_0&sr_pri_blocks=271226601_106254093_2_2_0__25500&from_sustainable_property_sr=1&from=searchresults,144.95030600,255,AUD,"1 night, 1 adult",Includes taxes and charges,Standard Double Room with Two Double Beds,2 double beds,8.7,Fabulous,5850,"Melbourne CBD, Melbourne",Novotel Melbourne South Wharf
"380 William Street, Melbourne, Victoria 3000, Australia, 3000 Melbourne, Australia",Radisson On Flagstaff Gardens Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/30883788.webp?k=1336a1f9eeab9aeca15d0ebde23af31cd335122f2796a32cce1953c2e97a4cef&o=,"Radisson on Flagstaff Gardens Melbourne is a 4 star hotel conveniently located in the central business district opposite Flagstaff Gardens, Melbourne’s oldest park, the perfect place for a scenic stroll. The hotel is within walking distance of many attractions, including Marvel Stadium, Melbourne Central and just around the corner, the famous Queen Victoria Market.

Enjoy expertly prepared meals and refreshing drinks at HQ’s on William, the on-site restaurant and bar, and order room service 24 hours a day. To unwind, soak up breathtaking views of the Melbourne skyline from the rooftop fitness centre and jacuzzi or watch one of the hundreds of complimentary movies available. The hotel also offer free Wi-Fi and a convenient business center.",-37.81036882,https://www.booking.com/hotel/au/radisson-on-flagstaff-gardens.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=3791801_145796184_2_2_0&highlighted_blocks=3791801_145796184_2_2_0&matching_block_id=3791801_145796184_2_2_0&sr_pri_blocks=3791801_145796184_2_2_0__25650&from_sustainable_property_sr=1&from=searchresults,144.95589182,257,AUD,"1 night, 1 adult",Includes taxes and charges,Standard Room,1 large double bed,8.4,Very,3185,"Melbourne CBD, Melbourne",Radisson On Flagstaff Gardens Melbourne
"1 Queen Street, 3000 Melbourne, Australia",Vibe Hotel Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/434527923.webp?k=4a8f7e021f6bc3240e194e68761a09a768b6fa01a223e067cd04a97bc6910ed7&o=,"Vibe Hotel Melbourne features a fitness centre, shared lounge, a restaurant and bar in Melbourne. The property is located 1.3 km from Southern Cross Station, 600 metres from Southbank Promenade and 600 metres from Federation Square. The hotel provides an indoor pool and room service and free WiFi throughout the property.

The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a fridge, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Vibe Hotel Melbourne features certain rooms with river views, and the rooms have a kettle. At the accommodation each room includes bed linen and towels.

Vibe Hotel Melbourne offers a buffet or continental breakfast.

Staff at the hotel are always available to provide guidance at the reception.

Popular points of interest near Vibe Hotel Melbourne include Block Arcade Melbourne, Crown Casino Melbourne and Eureka Tower. Essendon Fields Airport is 12 km away.",-37.81881900,https://www.booking.com/hotel/au/vibe-melbourne-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=554154514_230271037_2_2_0&highlighted_blocks=554154514_230271037_2_2_0&matching_block_id=554154514_230271037_2_2_0&sr_pri_blocks=554154514_230271037_2_2_0__35900&from_sustainable_property_sr=1&from=searchresults,144.96200100,359,AUD,"1 night, 1 adult",Includes taxes and charges,Urban Room King,1 extra-large double bed,8.9,Fabulous,5801,"Melbourne CBD, Melbourne",Vibe Hotel Melbourne
"77 - 79 Capel Street, West Melbourne, 3003 Melbourne, Australia",Best Western Queen Victoria Market Hotel,https://cf.bstatic.com/xdata/images/hotel/square600/423853284.webp?k=bba942dc7a60d4cfe11105d13716642a63095ccc17dc6921d72a54fd756b10d1&o=,"Located in the centre of Melbourne, 1.3 km from Melbourne City Conference Centre, Best Western Queen Victoria Market Hotel provides air-conditioned rooms and free WiFi. This 4-star hotel offers a business centre and luggage storage space. The property is non-smoking and is situated 1 km from Melbourne Central Station.

At the hotel, each room has a desk, a flat-screen TV, a private bathroom, bed linen and towels. Guest rooms will provide guests with a fridge.

Popular points of interest near Best Western Queen Victoria Market Hotel include State Library of Victoria, Southern Cross Station and Block Arcade Melbourne. The nearest airport is Essendon Fields Airport, 10 km from the accommodation.",-37.80610100,https://www.booking.com/hotel/au/best-western-queen-victoria-market.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=952445303_367825253_2_2_0_361910&highlighted_blocks=952445303_367825253_2_2_0_361910&matching_block_id=952445303_367825253_2_2_0_361910&sr_pri_blocks=952445303_367825253_2_2_0_361910_17000&from_sustainable_property_sr=1&from=searchresults,144.95477600,170,AUD,"1 night, 1 adult",Includes taxes and charges,Executive Queen Room,1 large double bed,8.6,Fabulous,487,"West Melbourne, Melbourne",Best Western Queen Victoria Market Hotel
"33 Spencer Street, Docklands, 3000 Melbourne, Australia",Grand Hotel Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/28711716.webp?k=3d61c21eebcedad6824577d0374f8aeec14aad47b642f031ba2ce7e83bed564f&o=,"Located at 33 Spencer Street Melboourne,Grand Hotel Melbourne is a historic Melbourne icon offering fully self-contained apartments with a modern kitchen. Guest facilities include an indoor heated pool and spa pool, fitness centre with sauna. 400 MB of free WiFi is included per day.

Beautifully restored to retain its 19th-century origins, with wrought iron railings and Victorian-era windows, Grand Hotel Melbourne is located in Melbourne CBD, within a 5-minute walk of Crown Casino, Southbank, Docklands and Marvel Stadium.

Gaylord Restaurant offers Tandoori cuisine originating from Northern India during the Mughal times. The menu is extensive with enticing specialties and modern international classic dishes. Front desk is open from 7 am to 11 pm.

Grand Hotel Melbourne also features a small library, concierge service.

Each studio and apartment offers absolute comfort and including high ceilings. Some with a view of the city below.",-37.820730309506345,https://www.booking.com/hotel/au/the-grand-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=3721806_200091950_0_0_0&highlighted_blocks=3721806_200091950_0_0_0&matching_block_id=3721806_200091950_0_0_0&sr_pri_blocks=3721806_200091950_0_0_0__30900&from_sustainable_property_sr=1&from=searchresults,144.95449841022491,309,AUD,"1 night, 1 adult",Includes taxes and charges,Studio Apartment,Entire studio•1 bathroom•1 kitchen•43m²,8.6,Fabulous,1384,"Docklands, Melbourne",Grand Hotel Melbourne
"575 Flinders Lane, 3000 Melbourne, Australia","Hotel Indigo Melbourne on Flinders, an IHG Hotel",https://cf.bstatic.com/xdata/images/hotel/square600/530631295.webp?k=39833f36e033e6c06438b5393cdbb2579aeff7912d7280d0bfae0492f178ac38&o=,"Located in Melbourne's CBD, on the corner of Flinders Lane and Spencer Street, this hotel offers a garden terrace and a fitness centre. All rooms have a flat-screen TV with cable channels. There are tram and bus stops directly outside the hotel. Children aged 17 years and below stay and eat for free at the property.

Hotel Indigo Melbourne on Flinders, an IHG Hotel is 600 metres from Sea Life Melbourne Aquarium and a short walk from Etihad Stadium, Melbourne Convention Centre and South Wharf. It is a 2-minute walk from Southern Cross train station.

Surrounded by beautiful historic scenery, Hotel Indigo Melbourne on Flinders, an IHG Hotel offers contemporary accommodation with floor-to-ceiling windows, air-conditioning and a pillow menu. Most rooms offer stunning views of the city.",-37.82011375,https://www.booking.com/hotel/au/holiday-inn-on-flinders-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780330&all_sr_blocks=17935420_95441664_2_34_0&highlighted_blocks=17935420_95441664_2_34_0&matching_block_id=17935420_95441664_2_34_0&sr_pri_blocks=17935420_95441664_2_34_0__30854&from_sustainable_property_sr=1&from=searchresults,144.95477736,309,AUD,"1 night, 1 adult",Includes taxes and charges,Standard Room,1 extra-large double bed,9.1,Superb,553,"Melbourne CBD, Melbourne","Hotel Indigo Melbourne on Flinders, an IHG Hotel"
